regulated.gene,regulator.gene,regulator.effect
1395,1142,2.73
1396,1142,3.53
1397,1142,3.47
1398,1142,4.82
1399,1142,4.8
1400,1142,2.74
1401,1142,4.91
1402,1142,3.64
1403,1142,2.41
1404,1142,3.89
1405,1142,2.45
1406,1142,4.2
1407,1142,3.94
1408,1142,4.49
1409,1142,2.81
1410,1142,2.25
1411,1142,3.33
1412,1142,2.71
1413,1142,2.3
1414,1142,2.13
1415,1142,4.87
1416,1142,2.23
1417,1142,4.7
1418,1142,4.51
1419,1142,3.03
1420,1142,3.11
1421,1142,2.99
1422,1142,4.48
1423,1142,4.68
1424,1142,4.25
1425,1142,3.66
1426,1142,3.88
1427,1142,3.92
1428,1142,2.87
1429,1142,3.58
1430,1142,4.35
1431,1142,2.65
1432,1142,2.44
1433,1142,3.36
1434,1142,2.33
1435,1142,2.71
1436,1142,2.68
1437,1142,3.23
1438,1142,3.03
1439,1142,2.76
1440,1142,4.69
1441,1142,2.83
1442,1142,2.31
1443,1142,2.29
1444,1142,3.23
1445,1143,2.46
1446,1143,2.64
1447,1143,3.58
1448,1143,4.61
1449,1143,4.49
1450,1143,3.55
1451,1143,2.67
1452,1143,3.74
1453,1143,4.36
1454,1143,3.25
1455,1143,3.89
1456,1143,3.02
1457,1143,2.66
1458,1143,2.75
1459,1143,3.6
1460,1143,2.26
1461,1143,4.64
1462,1143,4.12
1463,1143,4.31
1464,1143,3.04
1465,1143,4.39
1466,1143,4.79
1467,1143,3.42
1468,1143,4.91
1469,1143,2.61
1470,1143,2.43
1471,1143,3.39
1472,1143,2.93
1473,1143,3.03
1474,1143,2.34
1475,1143,3.93
1476,1143,3.29
1477,1143,4.4
1478,1143,3.09
1479,1143,3.1
1480,1143,3.72
1481,1143,2.39
1482,1143,2.51
1483,1143,2.13
1484,1143,3.06
1485,1143,3.9
1486,1143,3.06
1487,1143,3.2
1488,1143,2.27
1489,1143,3.62
1490,1143,2.96
1491,1143,4.67
1492,1143,3.91
1493,1143,2.89
1494,1143,3.41
1495,1143,2.83
1496,1143,3.63
1497,1143,3.97
1498,1143,4.2
1499,1143,4.78
1500,1143,2.99
1501,1143,3.09
1502,1143,4.16
1503,1143,3.01
1504,1143,4.86
1505,1143,4.32
1506,1143,3.27
1507,1143,2.24
1508,1143,2.65
1509,1143,4.13
1510,1143,2.57
1511,1143,3.28
1512,1143,4.08
1513,1143,4.14
1514,1143,2.7
1515,1143,4.87
1516,1143,4.18
1517,1143,4.17
1518,1143,3
1519,1143,3.57
1520,1143,4.44
1521,1143,4.68
1522,1143,4.38
1523,1143,2.69
1524,1143,4.61
1525,1143,4.1
1526,1143,4.02
1527,1143,4.33
1528,1143,4.81
1529,1143,4
1530,1143,3.28
1531,1143,2.16
1532,1143,4.98
1533,1143,4.66
1534,1143,2.1
1535,1143,3.27
1536,1143,4.81
1537,1143,4.93
1538,1143,2.89
1539,1143,4.48
1540,1143,3.29
1541,1143,4.74
1542,1143,3.79
1543,1143,3.91
1544,1143,2.13
1545,1144,3.32
1546,1144,2.14
1547,1144,4.57
1548,1144,3.97
1549,1144,3.32
1550,1144,2.09
1551,1144,3.81
1552,1144,2.16
1553,1144,3.1
1554,1144,3.13
1555,1144,2.8
1556,1144,3.69
1557,1144,4.34
1558,1144,3.57
1559,1144,4.28
1560,1144,2.7
1561,1144,3.49
1562,1144,4.81
1563,1144,3.55
1564,1144,2.86
1565,1144,3.09
1566,1144,4.45
1567,1144,3.66
1568,1144,4.2
1569,1144,2.34
1570,1144,4.98
1571,1144,3.15
1572,1144,3.73
1573,1144,3.63
1574,1144,2.34
1575,1144,3.09
1576,1144,2.93
1577,1144,4.09
1578,1144,2.43
1579,1144,3.63
1580,1144,2.58
1581,1144,2.98
1582,1144,3.95
1583,1144,4.52
1584,1144,2.74
1585,1144,2.27
1586,1144,3.87
1587,1144,4.32
1588,1144,3.44
1589,1144,2.24
1590,1144,3.85
1591,1144,3.04
1592,1144,3.03
1593,1144,4.66
1594,1144,4.94
1595,1144,4.76
1596,1144,4.86
1597,1144,4.44
1598,1144,4.39
1599,1144,3.11
1600,1144,3.45
1601,1144,3.78
1602,1144,4.61
1603,1144,3.56
1604,1144,4.18
1605,1144,3.87
1606,1144,4.94
1607,1144,4.99
1608,1144,4.25
1609,1144,3.59
1610,1144,4.12
1611,1144,4.81
1612,1144,4.54
1613,1144,2.27
1614,1144,2.87
1615,1144,3.97
1616,1144,4.58
1617,1144,4.47
1618,1144,4.28
1619,1144,2.26
1620,1144,2.58
1621,1144,4.66
1622,1144,4.29
1623,1144,4.66
1624,1144,2.45
1625,1144,2.43
1626,1144,4.94
1627,1144,3.8
1628,1144,4.05
1629,1144,4.4
1630,1144,4.18
1631,1144,4.35
1632,1144,4.91
1633,1144,4.86
1634,1144,4.57
1635,1144,2.62
1636,1144,2.73
1637,1144,2.85
1638,1144,3.08
1639,1144,3.61
1640,1144,4.34
1641,1144,2.72
1642,1144,4.75
1643,1144,2.64
1644,1144,2.97
